STATISTIC CODE,Statistic,TLIST(A1),Year,COUNT_PARTNER,Trade Partner,RUSECTION,Industry Sector,UNIT,VALUE
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,P,Education,Count,167
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,Q,Human Health And Social Work Activities,Count,71
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,R,"Arts, Entertainment And Recreation",Count,193
BESESCOUNT,Number of Businesses,2014,2014,EXTERN,External Seller,S,Other Service Activities,Count,115
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,ALL,All industries,Count,8749
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,A,"Agriculture, Forestry And Fishing",Count,61
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,B,Mining And Quarrying,Count,54
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,C,Manufacturing,Count,2015
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,D,"Electricity, Gas, Steam And Air Conditioning Supply",Count,12
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",Count,48
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,F,Construction,Count,941
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Count,2880
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,H,Transportation And Storage,Count,446
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,I,Accommodation And Food Service Activities,Count,28
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,J,Information And Communication,Count,511
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,L,Real Estate Activities,Count,60
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,M,"Professional, Scientific And Technical Activities",Count,1185
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,N,Administrative And Support Service Activities,Count,127
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,P,Education,Count,102
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,Q,Human Health And Social Work Activities,Count,69
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,R,"Arts, Entertainment And Recreation",Count,132
BESESCOUNT,Number of Businesses,2014,2014,EXPORT,Exporter,S,Other Service Activities,Count,78
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,ALL,All industries,Count,11578.95049
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,A,"Agriculture, Forestry And Fishing",Count,125.8
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,B,Mining And Quarrying,Count,72.0952381
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,C,Manufacturing,Count,2281.91122
BESESCOUNT,Number of Businesses,2015,2015,EXTERN,External Seller,D,"Electricity, Gas, Steam And Air Conditioning Supply",Count,34.42857143
